일본,도쿄
중국,베이징
대만,타이페이
홍콩,빅토리아
베트남,하노이
라오스,비엔티안
태국,방콕
인도네시아,자카르타
라오스,비엔티안
싱가포르,싱가포르
말레이시아,콸라룸푸르
필리핀,마닐라
인도,뉴델리
몽골,울란바토르
네팔,카트만두
이라크,바그다드
요르단,암만
이란,테헤란
이스라엘,예루살렘
시리아,다마스쿠스
사우디 아라비아,메카
프랑스,파리
독일,베를린
영국,런던
오스트리아,비엔나
스페인,마드리드
모나코,모나코
포루투갈,리스본
러시아,모스크바
이탈리아,로마
네덜란드,암스테르담
우크라이나,키예프
헝가리,부다페스트
터키,앙카라
덴마크,코펜하겐
핀란드,헬싱키
알바니아,티라냐
그리스,아테네
크로아티아,자그레브
스위스,베른
유고슬라비아,베오그라드
아일랜드,더블린
루마니아,부쿠레슈티
호주,캔버라
뉴질랜드,웰린턴
나우루,야렌
바누아투,포트빌라
피지,수바
팔라우,코로르
키리바시,티라와
파푸아뉴기니,포트모르즈비
캐나다,오타와
미국,워싱턴DC
멕시코,멕시코시티
브라질,브라질리아
바하마,나소
콜롬비아,보고타
파라과이,아순시온
볼리비아,라파스
페루,리마
우루과이,몬테비데오
도미니카,로조
에콰도르,키토
칠레,산티아고
아르헨티나,부에노스아이레스
온두라스,테구시갈파
엘살바도르,산살바도르
코스타리카,산호세
자메이카,킹스턴
모로코,라바트
알제리,알제
리비아,트리폴리
이집트,카이로
수단,하르툼
에티오피아,아디스아바바
소말리아,모가디슈
차드,은자메나
말리,바마코
기니,코나크리
가나,아크라
가봉,리브르빌
남아공,프리토리아
르완다,키갈리
말라위,릴롱궤
스와질랜드,음바바네
튀니지,튀니스
케냐,나이로비
탄자니아,다르에스살람
콩고,브라자빌